operator,binding_energy,repressor,inducer_uM,m0p0,m1p0,m2p0,m3p0,m4p0,m5p0,m6p0,m0p1,m1p1,m0p2,m2p1,m1p2,m0p3,m3p1,m2p2,m1p3,m0p4,m4p1,m3p2,m2p3,m1p4,m0p5,m5p1,m4p2,m3p3,m2p4,m1p5,m0p6
O1,-15.3,0,0.0,1.0000000280607868,18.35564531144841,443.5271099217259,13165.533414816011,458334.8945590935,18131938.37105347,797770582.7872816,9177.742477845932,179156.54637716638,88671087.21351486,4528181.626964586,1831262170.696489,901352337552.2083,138608628.82847604,48094829178.47831,19547291616597.89,9611256443505016.0,4925226723.81204,1509787458022.991,529784036614411.8,2.1702867967746838e+17,1.0700375743748191e+20,197557618739.4,54547196634162.39,1.6970894308631252e+16,6.031397245960472e+18,2.4952049208126603e+21,1.237005473216126e+24
O1,-15.3,0,0.1,1.0000000280607868,18.35564531144841,443.5271099217259,13165.533414816011,458334.8945590935,18131938.37105347,797770582.7872816,9177.742477845932,179156.54637716638,88671087.21351486,4528181.626964586,1831262170.696489,901352337552.2083,138608628.82847604,48094829178.47831,19547291616597.89,9611256443505016.0,4925226723.81204,1509787458022.991,529784036614411.8,2.1702867967746838e+17,1.0700375743748191e+20,197557618739.4,54547196634162.39,1.6970894308631252e+16,6.031397245960472e+18,2.4952049208126603e+21,1.237005473216126e+24
O1,-15.3,0,0.12528388390776227,1.0000000280607868,18.35564531144841,443.5271099217259,13165.533414816011,458334.8945590935,18131938.37105347,797770582.7872816,9177.742477845932,179156.54637716638,88671087.21351486,4528181.626964586,1831262170.696489,901352337552.2083,138608628.82847604,48094829178.47831,19547291616597.89,9611256443505016.0,4925226723.81204,1509787458022.991,529784036614411.8,2.1702867967746838e+17,1.0700375743748191e+20,197557618739.4,54547196634162.39,1.6970894308631252e+16,6.031397245960472e+18,2.4952049208126603e+21,1.237005473216126e+24
O1,-15.3,0,0.15696051567013652,1.0000000280607868,18.35564531144841,443.5271099217259,13165.533414816011,458334.8945590935,18131938.37105347,797770582.7872816,9177.742477845932,179156.54637716638,88671087.21351486,4528181.626964586,1831262170.696489,901352337552.2083,138608628.82847604,48094829178.47831,19547291616597.89,9611256443505016.0,4925226723.81204,1509787458022.991,529784036614411.8,2.1702867967746838e+17,1.0700375743748191e+20,197557618739.4,54547196634162.39,1.6970894308631252e+16,6.031397245960472e+18,2.4952049208126603e+21,1.237005473216126e+24
O1,-15.3,0,0.19664623023319883,1.0000000280607868,18.35564531144841,443.5271099217259,13165.533414816011,458334.8945590935,18131938.37105347,797770582.7872816,9177.742477845932,179156.54637716638,88671087.21351486,4528181.626964586,1831262170.696489,901352337552.2083,138608628.82847604,48094829178.47831,19547291616597.89,9611256443505016.0,4925226723.81204,1509787458022.991,529784036614411.8,2.1702867967746838e+17,1.0700375743748191e+20,197557618739.4,54547196634162.39,1.6970894308631252e+16,6.031397245960472e+18,2.4952049208126603e+21,1.237005473216126e+24
O1,-15.3,0,0.2463660347943517,1.0000000280607868,18.35564531144841,443.5271099217259,13165.533414816011,458334.8945590935,18131938.37105347,797770582.7872816,9177.742477845932,179156.54637716638,88671087.21351486,4528181.626964586,1831262170.696489,901352337552.2083,138608628.82847604,48094829178.47831,19547291616597.89,9611256443505016.0,4925226723.81204,1509787458022.991,529784036614411.8,2.1702867967746838e+17,1.0700375743748191e+20,197557618739.4,54547196634162.39,1.6970894308631252e+16,6.031397245960472e+18,2.4952049208126603e+21,1.237005473216126e+24
O1,-15.3,0,0.3086569370199128,1.0000000280607868,18.35564531144841,443.5271099217259,13165.533414816011,458334.8945590935,18131938.37105347,797770582.7872816,9177.742477845932,179156.54637716638,88671087.21351486,4528181.626964586,1831262170.696489,901352337552.2083,138608628.82847604,48094829178.47831,19547291616597.89,9611256443505016.0,4925226723.81204,1509787458022.991,529784036614411.8,2.1702867967746838e+17,1.0700375743748191e+20,197557618739.4,54547196634162.39,1.6970894308631252e+16,6.031397245960472e+18,2.4952049208126603e+21,1.237005473216126e+24
O1,-15.3,0,0.38669739864928243,1.0000000280607868,18.35564531144841,443.5271099217259,13165.533414816011,458334.8945590935,18131938.37105347,797770582.7872816,9177.742477845932,179156.54637716638,88671087.21351486,4528181.626964586,1831262170.696489,901352337552.2083,138608628.82847604,48094829178.47831,19547291616597.89,9611256443505016.0,4925226723.81204,1509787458022.991,529784036614411.8,2.1702867967746838e+17,1.0700375743748191e+20,197557618739.4,54547196634162.39,1.6970894308631252e+16,6.031397245960472e+18,2.4952049208126603e+21,1.237005473216126e+24
O1,-15.3,0,0.4844695199981036,1.0000000280607868,18.35564531144841,443.5271099217259,13165.533414816011,458334.8945590935,18131938.37105347,797770582.7872816,9177.742477845932,179156.54637716638,88671087.21351486,4528181.626964586,1831262170.696489,901352337552.2083,138608628.82847604,48094829178.47831,19547291616597.89,9611256443505016.0,4925226723.81204,1509787458022.991,529784036614411.8,2.1702867967746838e+17,1.0700375743748191e+20,197557618739.4,54547196634162.39,1.6970894308631252e+16,6.031397245960472e+18,2.4952049208126603e+21,1.237005473216126e+24
O1,-15.3,0,0.6069622310029172,1.0000000280607868,18.35564531144841,443.5271099217259,13165.533414816011,458334.8945590935,18131938.37105347,797770582.7872816,9177.742477845932,179156.54637716638,88671087.21351486,4528181.626964586,1831262170.696489,901352337552.2083,138608628.82847604,48094829178.47831,19547291616597.89,9611256443505016.0,4925226723.81204,1509787458022.991,529784036614411.8,2.1702867967746838e+17,1.0700375743748191e+20,197557618739.4,54547196634162.39,1.6970894308631252e+16,6.031397245960472e+18,2.4952049208126603e+21,1.237005473216126e+24
